Id,CAS,SMILES,Status,Experimental value,Predicted value,NumValenceElectrons,qed,TPSA,MolMR,BalabanJ,BertzCT,MolWt,MolLogP
1718,159092-71-4,O=[N+]([O-])c1ccc2c3ccccc3(cc(c2(c1))[N+](=O)[O-]),Training,1,1,98,0.401423892,86.28,74.7628,2.51145414,873.5565901,268.228,3.8094
1719,159092-72-5,O=[N+]([O-])c2ccc3ccc1cccc(c1c3(c2))[N+](=O)[O-],Training,1,1,98,0.401423892,86.28,74.7628,2.518244416,873.5565901,268.228,3.8094
1720,159092-73-6,O=[N+]([O-])c1ccc2c(c1)c3ccccc3(cc2[N+](=O)[O-]),Training,1,1,98,0.401423892,86.28,74.7628,2.523752798,873.5565901,268.228,3.8094
1721,159092-74-7,O=[N+]([O-])c3cccc2cc(c1ccccc1c23)[N+](=O)[O-],Training,1,1,98,0.401423892,86.28,74.7628,2.605742256,861.5565901,268.228,3.8094
1722,159092-75-8,O=[N+]([O-])c3cccc1c3(c2ccccc2(cc1[N+](=O)[O-])),Training,1,1,98,0.401423892,86.28,74.7628,2.634092606,861.5565901,268.228,3.8094
1723,159092-76-9,O=[N+]([O-])c3cccc1c3(cc(c2cccc(c12)[N+](=O)[O-])[N+](=O)[O-]),Training,1,1,114,0.411252472,129.42,81.4172,2.660872586,1014.231734,313.225,3.7176
1724,159092-77-0,O=[N+]([O-])c3cccc2cc(c1c(cccc1[N+](=O)[O-])c23)[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.662804336,1014.231734,313.225,3.7176
1725,159092-78-1,O=[N+]([O-])c1ccc2c(c1)c3cccc(c3(cc2[N+](=O)[O-]))[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.564978527,1014.231734,313.225,3.7176
1726,159092-79-2,O=[N+]([O-])c1ccc2c3cccc(c3(cc(c2(c1))[N+](=O)[O-]))[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.539578598,1014.231734,313.225,3.7176
1727,159092-80-5,O=[N+]([O-])c1ccc3c(c1)c(cc2cccc(c23)[N+](=O)[O-])[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.569085809,1014.231734,313.225,3.7176
1728,159092-81-6,O=[N+]([O-])c1ccc2c(c1)cc(c3ccc(cc23)[N+](=O)[O-])[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.477560607,1014.231734,313.225,3.7176
1729,159092-84-9,O=[N+]([O-])c1ccc2cc(c3ccc(cc3(c2(c1)))[N+](=O)[O-])[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.505193442,1014.231734,313.225,3.7176
1730,159092-85-0,O=[N+]([O-])c1ccc3c(c1)c2c(cccc2[N+](=O)[O-])cc3[N+](=O)[O-],Training,1,1,114,0.411252472,129.42,81.4172,2.59691207,1002.231734,313.225,3.7176
1731,1591-56-6,O=C(Nc2ccc(N=Nc1ccc(cc1)N(C)C)cc2)C,Training,1,1,108,0.857208821,57.06,85.6907,2.045128447,630.3314818,282.347,4.1264
1732,159394-72-6,N#Cc2cccc(C=Cc1ccc(cc1)[N+](=O)[O-])c2,Training,1,1,92,0.47417955,66.93,73.1814,2.178579081,667.2900842,250.257,3.63688
1733,159416-83-8,Oc3ccc(O)c4c(OC)c(c1cc(O)c2c(OC)cc(cc2(c1(O)))C)c(cc34)C,Training,0,0,154,0.352698852,99.38,116.1272,2.172289164,1323.562333,406.434,5.11644
1734,1594-56-5,N#CSc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],Training,1,1,76,0.336712109,110.07,51.2208,3.277108498,467.7933686,225.185,2.07618
1735,15950-66-0,Oc1ccc(c(c1Cl)Cl)Cl,Training,0,0,54,0.63249081,20.23,43.1368,3.342153808,232.4149959,197.448,3.3524
1736,15961-88-3,[O-][N+](=Nc2ccc3c1ccccc1Cc3(c2))c5ccc6c4ccccc4Cc6(c5),Training,0,1,138,0.187502215,38.43,114.7434,1.329161452,1320.099637,374.443,6.7547
1737,1596-84-5,O=C(O)CCC(=O)NN(C)C,Training,0,1,64,0.540940884,69.64,38.6995,3.454102565,155.9063854,160.173,-0.556
1738,159714-84-8,c1ccc2cc4c(cc2(c1))c3c(cccc3C5NC45)C,Training,1,1,96,0.587759893,21.94,82.7387,1.915854593,862.7692903,257.336,4.51422
1739,159714-85-9,O3C4c5ccccc5(c2cc1ccccc1c(c2C34)CC),Training,1,1,102,0.554917788,12.53,85.329,1.939077442,878.1408519,272.347,5.1952
1740,159714-86-0,c1ccc4c(c1)cc3c2ccccc2C5NC5(c3c4CC),Training,1,1,102,0.632703503,21.94,87.3797,1.939077442,878.1408519,271.363,4.7682
1741,15980-15-1,O1CCSCC1,Training,0,0,36,0.448245819,9.23,28.144,2,23.01955001,104.174,0.7498
1742,160543-00-0,OCc2c3ccc4ccccc4(c3(nc1ccc(cc12)C)),Training,1,1,102,0.413130804,33.12,87.4148,2.275649986,988.6829352,273.335,4.34192
1743,160543-02-2,OCc2ccc3nc1c4ccccc4(ccc1c(c3(c2))C),Training,1,1,102,0.413130804,33.12,87.4148,2.208101138,988.6829352,273.335,4.34192
1744,160543-04-4,OCc2ccc3nc1c4ccccc4(ccc1c(c3(c2))CO),Training,1,1,108,0.43829098,53.35,88.6006,2.215853448,1008.182868,289.334,3.5258
1745,160543-06-6,OCc2c4ccc(cc4(nc1c3ccccc3(ccc12)))C,Training,0,1,102,0.413130804,33.12,87.4148,2.280163611,988.6829352,273.335,4.34192
1746,160543-08-8,OCc4ccc2c(nc1c3ccccc3(ccc1c2C))c4,Training,1,0,102,0.413130804,33.12,87.4148,2.219882581,988.6829352,273.335,4.34192
1747,160543-10-2,OCc4ccc2c(nc1c3ccccc3(ccc1c2CO))c4,Training,0,1,108,0.43829098,53.35,88.6006,2.223124651,1008.182868,289.334,3.5258
1748,160543-14-6,OCc3ccc4nc2c(ccc1c2(C=CC(O)C1(O)))c(c4(c3))C,Training,1,1,116,0.604241492,73.58,89.9094,2.086001562,961.884192,307.349,2.60982
1749,160543-15-7,OCc3c4ccc1c(C=CC(O)C1(O))c4(nc2ccc(cc23)C),Training,1,1,116,0.604241492,73.58,89.9094,2.141906262,961.884192,307.349,2.60982
1750,160543-16-8,OC3c4ccccc4(c2nc1ccc(cc1c(c2C3(O))C)C),Training,0,0,110,0.665147363,53.35,86.5726,2.137082242,901.3209263,291.35,3.59904
1751,160543-18-0,OCc3ccc4nc2c1ccccc1C5OC5(c2c(c4(c3))C),Training,0,0,108,0.692486434,45.65,84.4058,1.873097329,932.1116558,289.334,3.82852
1752,160543-23-7,OC3c4ccccc4(c2nc1cc(ccc1c(c2C3(O))C)C),Training,0,0,110,0.665147363,53.35,86.5726,2.139436402,901.3209263,291.35,3.59904
1753,160637-28-5,OC3C=Cc2c4nc1ccc(cc1c(c4(ccc2C3(O)))C)C,Training,1,1,110,0.623935788,53.35,88.7236,2.131521968,943.2117178,291.35,3.42594
1754,160637-29-6,OC4c2c(nc1c3ccccc3(ccc1c2C))C=C(C)C4(O),Training,1,1,110,0.623199563,53.35,88.6036,2.15924229,942.9666053,291.35,3.50762
1755,160637-30-9,OC3C=Cc2c4nc1cc(ccc1c(c4(ccc2C3(O)))C)C,Training,1,1,110,0.623935788,53.35,88.7236,2.139452107,943.2117178,291.35,3.42594
1756,1606-67-3,Nc1ccc2ccc3cccc4ccc1c2c34,Training,1,1,80,0.347034174,26.02,74.5584,2.483254905,829.981672,217.271,4.1662
1757,16069-36-6,O1CCOC3CCCCC3(OCCOCCOC2CCCCC2(OCC1)),Training,0,0,152,0.651686388,55.38,97.534,1.437996551,300.210569,372.502,2.722
1758,1608-51-1,O=C(C=Cc1ccc(F)cc1)c2ccccc2,Training,0,0,84,0.575467204,17.07,66.2065,2.111960493,526.6080949,226.25,3.7218
1759,1609-47-8,O=C(OC(=O)OCC)OCC,Training,0,0,64,0.452213248,61.83,35.129,3.489962143,125.9080689,162.141,1.316
1760,1609-93-4,O=C(O)C=CCl,Training,1,0,34,0.502844525,37.3,22.6288,3.301627872,76.86238311,106.508,0.8235
1761,16110-09-1,n1cc(ccc1Cl)Cl,Training,0,0,42,0.514362838,12.89,34.257,3.032455532,149.2884734,147.992,2.3884
1762,161221-84-7,O=C(Oc3ccc(OC(=O)C)c4c(OC)c(c1cc(OC(=O)C)c2c(OC)cc(cc2(c1(OC(=O)C)))C)c(cc34)C)C,Training,0,0,218,0.191859752,123.66,154.704,2.255562281,1784.673533,574.582,5.99524
1763,1613-37-2,[O-][n+]2cccc1ccccc12,Training,0,0,54,0.40709234,26.94,42.908,2.913161164,378.7244463,145.161,1.4732
1764,1615-02-7,O=C(O)C=Cc1ccc(cc1)Cl,Training,0,0,62,0.713754134,37.3,48.1218,2.772025613,300.8095034,182.606,2.4378
1765,16156-53-9,O=S(=O)(OCC(C)C)C,Training,1,1,56,0.556647647,43.37,35.6338,3.534351515,157.0419208,152.215,0.6186
1766,16156-54-0,O=S(=O)(OC(C)CC)C,Training,1,1,56,0.560665724,43.37,35.6818,3.751501669,159.0419208,152.215,0.7611
1767,16156-55-1,O=S(=O)(OCCC(C)C)C,Training,1,1,62,0.585281273,43.37,40.2508,3.392773083,169.4319502,166.242,1.0087
1768,16169-16-7,O=[N+]([O-])c1ccc(cc1)NO,Training,1,1,58,0.498218849,75.4,38.5056,2.913801563,257.0348351,154.125,1.3959
1769,16169-17-8,ONc2ccccc2(c1ccccc1),Training,1,1,70,0.704215672,32.26,57.2872,2.513020982,411.6767229,185.226,3.1547
1770,161696-98-6,n1ccnc2c1ccc(NC)c2C,Training,1,1,66,0.716124261,37.81,53.8217,2.789106967,437.117946,173.219,1.97992
1771,161696-99-7,n1cc(nc2ccc(NC)c(c12)C)C,Training,1,1,72,0.743914213,37.81,58.5587,2.770666232,477.1614929,187.246,2.28834
1772,161697-00-3,n1c2ccc(NC)c(c2(nc(c1C)C))C,Training,1,1,78,0.770253388,37.81,63.2957,2.81281738,517.7464256,201.273,2.59676
1773,161697-01-4,n1c2ccc(NC)c(c2(nc(c1CC)CC))C,Training,1,1,90,0.878428399,37.81,72.5777,2.739293912,546.6488864,229.327,3.10472
1774,161697-02-5,n1cc(nc2c1ccc(NC)c2C)c3ccccc3,Training,1,1,94,0.753010996,37.81,79.2577,2.222614299,720.6456093,249.317,3.64692
1775,161697-03-6,n1c2ccc(N)c(c2(nc(c1C)C))C,Training,1,1,72,0.642688729,51.8,58.1614,2.894630351,503.3490703,187.246,2.13726
1776,161697-04-7,n1c2ccc(c(c2(nc(c1C)C))C)N(C)C,Training,1,1,84,0.731907134,29.02,68.076,2.787410596,544.3592707,215.3,2.62106
1777,161708-24-3,O=C(O)C(=C(C(=O)O)Cl)C,Training,0,1,56,0.588533831,74.6,33.8246,4.674344437,183.6934905,164.544,0.6684
1778,162022-85-7,[O-][n+]1ncc2cnccc2(c1),Training,0,0,54,0.396517648,52.72,38.498,2.828901216,388.0973994,147.137,0.2632
1779,162022-88-0,n1nc(NN)c2ccncc2(c1),Training,1,1,60,0.464651679,76.72,45.1431,2.79096703,394.4237979,161.168,0.3104
1780,162022-89-1,n1nc(NN)c2cnccc2(c1),Training,1,1,60,0.464651679,76.72,45.1431,2.79096703,394.4237979,161.168,0.3104
1781,162022-90-4,n1nc(OC)c2ccncc2(c1),Training,0,0,60,0.626400015,47.9,43.885,2.79096703,396.9300353,161.164,1.0334
1782,162022-91-5,n1nc(OC)c2cnccc2(c1),Training,0,0,60,0.626400015,47.9,43.885,2.79096703,396.9300353,161.164,1.0334
1783,162022-92-6,n1nc(c2ccncc2(c1))Cl,Training,0,0,54,0.596327836,38.67,42.343,2.913161164,382.8473994,165.583,1.6782
1784,162022-93-7,n1nc(c2cnccc2(c1))Cl,Training,0,0,54,0.596327836,38.67,42.343,2.913161164,382.8473994,165.583,1.6782
1785,162050-09-1,O=C(c1oc(c(c1Cl)Cl)[N+](=O)[O-])CBr,Training,1,1,76,0.372103505,73.35,53.5069,3.283623614,402.7809222,302.895,3.0722
1786,162050-11-5,O=C(OC)C1OC(=NO)C(=C1Cl)Cl,Training,0,1,72,0.411592976,68.12,44.8425,2.925510991,299.0093771,226.015,1.0351
1787,16219-75-3,C(=C1CC2C=CC1C2)C,Training,0,0,48,0.430807277,0,39.111,2.289029629,174.4773318,120.195,2.5287
1788,16219-98-0,O=NN(c1ncccc1)C,Training,1,0,52,0.454117324,45.56,38.435,2.842015016,211.4927305,137.142,1.1992
1789,16219-99-1,O=NN(c1ccncc1)C,Training,0,0,52,0.454117324,45.56,38.435,2.842015016,211.4927305,137.142,1.1992
1790,1622-57-7,n1c(N)n(c2ccccc12)C,Training,1,1,56,0.607190221,43.84,45.1264,2.924165617,389.1365427,147.181,1.1555
1791,1622-62-4,O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))[N+](=O)[O-])C,Training,1,0,116,0.631325549,75.81,83.4124,2.273997257,848.2141469,313.288,2.5477
1792,16238-56-5,c1ccc2c(c1)ccc4c2c(c3ccccc3c4CBr)C,Training,1,1,102,0.215952179,0,96.328,2.365308953,982.9549961,335.244,6.34952
1793,16239-84-2,O=[N+]([O-])c2oc(C=Cc1nc(N)sc1)cc2,Training,1,1,82,0.652749915,95.19,60.8168,2.139737292,543.6965323,237.24,2.3969
1794,16292-86-7,O=[N+]([O-])c1ccc(N)cc1(O),Training,1,0,58,0.356668603,89.39,39.1736,3.196069662,297.8789117,154.125,0.8826
1795,1629-58-9,O=C(C=C)CC,Training,1,1,34,0.458551223,17.07,25.495,3.234390867,64.33869643,84.118,1.1515
1796,16301-26-1,[O-][N+](=NCC)CC,Training,0,1,42,0.290843841,38.43,27.1374,3.285979159,70.09004635,102.137,0.9887
1797,16306-16-4,O=C2c1ccccc1c4ccc(O)c3cccc2c34,Training,1,1,90,0.51267134,37.3,74.4813,2.281723269,847.0050341,246.265,3.7568
1798,16310-69-3,c1ccc5c(c1)c4cc2c(ccc3c2CCCC3)cc4CC5,Training,1,1,108,0.512228866,0,93.434,1.818773812,885.9240534,284.402,5.4842
1799,16311-38-9,O=[N+]([O-])c1ccc(cc1)c3nc2n(ccs2)c3[N+](=O)[O-],Training,1,1,100,0.544558691,103.58,71.8138,2.178481687,820.6858262,290.26,2.8792
1800,16323-43-6,O=C(O)C=Cc1ccc(C=CC(=O)O)cc1,Training,0,0,82,0.756449474,74.6,59.7816,2.751207692,397.5914941,218.208,1.8822
1801,163275-57-8,Fc3cnc1c(ccc2ccccc12)c3,Training,0,1,72,0.502245871,12.89,59.207,2.545878519,646.1543647,197.212,3.5271
1802,163275-58-9,Fc1cc3ccccc3(c2ncccc12),Training,1,1,72,0.502245871,12.89,59.207,2.638447884,646.1543647,197.212,3.5271
1803,163275-59-0,Fc2cc1cccnc1c3ccccc23,Training,1,1,72,0.502245871,12.89,59.207,2.638447884,646.1543647,197.212,3.5271
1804,163275-60-3,Fc1cccc2c3ncccc3(ccc12),Training,1,1,72,0.502245871,12.89,59.207,2.604862794,646.1543647,197.212,3.5271
1805,163275-61-4,Fc2ccc3ccc1cccnc1c3(c2),Training,1,1,72,0.502245871,12.89,59.207,2.573833592,646.1543647,197.212,3.5271
1806,163275-62-5,Fc1cnc2c(c1)cc(F)c3ccccc23,Training,0,1,78,0.521252799,12.89,59.165,2.585789556,691.8927302,215.202,3.6662
1807,163275-64-7,Fc1ccc(F)c2c3ncccc3(ccc12),Training,1,1,78,0.521252799,12.89,59.165,2.6447488,691.8927302,215.202,3.6662
1808,163275-65-8,Fc2cnc3ccc1ccccc1c3(c2),Training,1,1,72,0.502245871,12.89,59.207,2.573833592,646.1543647,197.212,3.5271
1809,163275-66-9,Fc3cccc2c3(ccc1ncccc12),Training,1,1,72,0.502245871,12.89,59.207,2.604862794,646.1543647,197.212,3.5271
1810,163275-67-0,Fc2cccc3ccc1ncccc1c23,Training,1,1,72,0.502245871,12.89,59.207,2.638125222,646.1543647,197.212,3.5271
1811,163275-68-1,Fc3ccc(F)c2c3(ccc1ncccc12),Training,1,1,78,0.521252799,12.89,59.165,2.6447488,691.8927302,215.202,3.6662
1812,1633-83-6,O=S1(=O)(OCCCC1),Training,1,1,48,0.444339196,43.37,28.9728,2.583679042,146.1222363,136.172,0.1266
1813,16338-97-9,O=NN(CC=C)CC=C,Training,1,1,50,0.316138755,32.67,37.762,3.514423957,101.6254878,126.159,1.3418
1814,16339-05-2,O=NN(CCCC)CCCCC,Training,1,1,72,0.320149069,32.67,51.801,3.324088257,106.7016577,172.272,2.9601
1815,1634-04-4,O(C)C(C)(C)C,Training,0,0,38,0.43498738,9.23,26.762,3.168489873,33.69332843,88.15,1.4313
1816,1634-78-2,O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC,Training,0,1,112,0.471510294,88.13,70.8865,4.807810709,338.7698692,314.296,2.0054
1817,16354-50-0,c1ccc2c(c1)ccc4c2c(c3ccccc3c4CC)C,Training,0,0,102,0.293011322,0,93.075,2.365308953,977.1548921,270.375,6.01702
1818,16354-52-2,c1ccc2c(c1)ccc4c2c(c3ccccc3c4CC)CC,Training,0,0,108,0.300375787,0,97.716,2.364778395,992.7859948,284.402,6.271
1819,16354-55-5,c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)CC,Training,0,0,102,0.293011322,0,93.075,2.37609904,977.1548921,270.375,6.01702
1820,1635-61-6,O=[N+]([O-])c1ccc(cc1(N))Cl,Training,1,1,58,0.399214834,69.16,42.5188,3.196069662,300.6337992,172.571,1.8304
1821,163930-30-1,O(c1ccc(cc1)CCI)Cc2ccccc2,Training,1,1,88,0.585228593,9.23,79.807,1.909289633,436.2388159,338.188,4.2431
1822,16400-63-8,C=C(CCl)Br,Training,1,1,30,0.509058679,0,28.787,2.847378923,42.15772188,155.422,2.1338
1823,1640-39-7,N=2c1ccccc1C(C=2C)(C)C,Training,0,1,62,0.55133353,12.36,52.237,2.656186812,347.7766746,159.232,3.0702
1824,16423-19-1,OC12(CCCCC2(C)(CCCC1(C))),Training,0,0,76,0.610008471,20.23,54.5398,2.270455309,197.3011575,182.307,3.1178
1825,16430-32-3,O=C(OCc2c3ccccc3(cc1ccccc12))C,Training,1,1,94,0.506226195,26.3,76.924,2.292867019,705.4003683,250.297,4.0561
1826,16452-01-0,O(c1cc(N)ccc1C)C,Training,1,1,54,0.596336025,35.25,42.1434,3.090683646,232.6992424,137.182,1.58582
1827,1646-75-9,ON=CC(C)(C)SC,Training,0,1,48,0.352254811,32.59,37.8725,3.714136561,90.42945954,133.216,1.588
1828,1649-18-9,O=C(c1ccc(F)cc1)CCCN3CCN(c2ncccc2)CC3,Training,0,0,126,0.764394213,36.44,92.8545,1.390702896,652.0719348,327.403,3.0058
1829,16495-13-9,O(Cc1ccccc1)CC2OC2,Training,1,1,64,0.630363402,21.76,45.838,1.716370411,228.8537122,164.204,1.602
1830,16533-72-5,O=C(O)C1OC1(C(=O)O),Training,0,0,50,0.466552985,87.13,23.9326,2.415866094,144.34093,132.071,-1.077
1831,165606-93-9,O=C1NC(=O)C(C1=C(Cl)Cl)(Cl)Cl,Training,1,1,66,0.401386008,46.17,46.3187,3.265711215,291.8233453,248.88,1.5059
1832,16561-29-8,O=C(OC34(C(OC(=O)CCCCCCCCCCCCC)C(C)C2(O)(C(C=C(CO)CC1(O)(C(=O)C(=CC12)C))C3C4(C)(C))))C,Training,0,0,248,0.120438675,130.36,167.3194,1.506819354,1154.778242,616.836,5.7529
1833,16568-02-8,O=CN(N=CC)C,Training,0,1,40,0.274587314,32.67,27.993,3.346748426,79.75898006,100.121,0.0803
1834,16582-03-9,n1c3cccc(N)c3(nc2cccc(N)c12),Training,1,1,78,0.438819674,77.82,65.8688,2.54073141,629.4788966,210.24,1.9474
1835,16596-38-6,NN(CC(C)C)CC(C)C,Training,1,0,62,0.478054499,29.26,45.4364,3.337430349,69.32677656,144.262,1.4741
1836,1663-39-4,O=C(OC(C)(C)C)C=C,Training,0,0,52,0.395006426,26.3,36.042,3.736394292,119.3680656,128.171,1.5141
1837,16650-32-1,Fc1ccc(F)c2cccnc12,Training,1,1,60,0.58404852,12.89,41.659,2.946471325,385.2980912,165.142,2.513
1838,166546-20-9,n1c3cc(ccc3([nH]c1c2ccc(cc2)N(CCCl)CCCl))Cc4nc5cc(ccc5([nH]4))N6CCN(C)CC6,Training,0,1,202,0.224729055,67.08,163.7924,1.181043647,1545.19703,562.549,5.7328
1839,166546-23-2,n1c3cc(ccc3([nH]c1c2ccc(cc2)N(CCCl)CCCl))CCCCCCc4nc5cc(ccc5([nH]4))N6CCN(C)CC6,Training,0,0,232,0.09816183,67.08,186.8624,0.965676008,1630.487989,632.684,7.4876
1840,1666-13-3,c1ccc(cc1)[Se][Se]c2ccccc2,Training,1,1,70,0.740883569,0,63.66,1.957475896,330.5520167,312.132,0.9608
1841,16664-45-2,c1ccc3c(c1)ccc2c3(cc(cc2C)C),Training,1,1,78,0.47107346,0,70.928,2.594492341,677.9984466,206.288,4.60984
1842,16665-89-7,O=C(Nc1c(cccc1CC)CC)C,Training,0,1,76,0.781649702,29.1,59.5017,3.115515977,308.843656,191.274,2.7698
1843,1668-19-5,O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3,Training,0,0,108,0.842863707,12.47,87.466,2.065949703,608.620859,279.383,3.9624
1844,16683-64-0,c1ccc2cc3c(cc2(c1))cc5cccc4C=Cc3c45,Training,1,1,92,0.313226899,0,87.888,2.079713049,1035.885321,252.316,5.63
1845,1669-70-1,O1CC1(c2ccc(cc2)Cl)C,Training,1,0,58,0.587633033,12.53,44.756,2.331788999,261.3961516,168.623,2.5854
1847,1671-82-5,O=[N+]([O-])c1nccn1C,Training,1,1,48,0.403041068,60.96,29.8624,3.07666344,229.471549,127.103,0.3283
1848,1672-88-4,O=C2NC(=O)CN2(N=CC=Cc1oc(cc1)[N+](=O)[O-]),Training,1,1,98,0.372073168,118.05,63.1331,1.937178253,588.4954129,264.197,0.7386
1849,16757-80-5,c1ccc2c(c1)cc3ccc4cccc5cc(c2c3c45)C,Training,1,1,98,0.236418158,0,92.389,2.258706948,1132.500064,266.343,6.04562
1850,16757-81-6,c1ccc2c(c1)cc3ccc5c4c(ccc2c34)ccc5C,Training,1,1,98,0.236418158,0,92.389,2.214403067,1132.500064,266.343,6.04562
1851,16757-82-7,c1ccc2c(c1)cc3ccc4cc(cc5ccc2c3c45)C,Training,1,1,98,0.236418158,0,92.389,2.189531353,1113.750064,266.343,6.04562
1852,16757-83-8,c1ccc2c(c1)cc3cc(c5cccc4ccc2c3c45)C,Training,1,1,98,0.236418158,0,92.389,2.235132675,1132.500064,266.343,6.04562
1853,1679-02-3,c4cc3c5ccc2c(ccc1ccc(cc12)C)c5(ccc3c(c4)C),Training,0,1,114,0.272428877,0,105.94,2.007423619,1234.518318,306.408,6.91624
1854,1679-41-0,O=CC=C(C)Cl,Training,1,1,34,0.362377144,17.07,25.674,3.405032613,71.61727061,104.536,1.3279
1855,168010-55-7,O=C1C=C3N(C(=O)N1)c2cc(F)c(cc2N3C4CC4)c5cc(nc(c5)C)C,Training,1,1,136,0.594053824,72.16,100.7177,1.918176594,1338.408093,364.38,3.09534
1856,16804-85-6,c1ccc2c(c1)C=CC3CCCCC23,Training,1,1,72,0.571657752,0,60.175,2.050154358,362.0559892,184.282,3.9872
1857,16813-36-8,O=NN1C(=O)NC(=O)CC1,Training,1,1,54,0.507414902,78.84,30.6567,2.5920264,190.1868377,143.102,-0.3903
1858,16830-15-2,O=C(OC3OC(COC2OC(CO)C(OC1OC(C)C(O)C(O)C1(O))C(O)C2(O))C(O)C(O)C3(O))C68(CCC(C)C(C)C8(C5=CCC4C7(C)(CC(O)C(O)C(C)(CO)C7(CCC4(C)C5(C)CC6)))),Training,0,0,384,0.097109814,315.21,231.4916,0.984552137,1820.765063,959.133,-1.0328
1859,1684-40-8,n2c1ccccc1c(N)c3c2CCCC3,Training,1,1,76,0.706488238,38.91,62.7974,2.359119565,517.1700343,198.269,2.6958
1860,1686-14-2,O1C2CC3CC(C12(C))C3(C)(C),Training,0,0,62,0.48473886,12.53,43.273,1.980315256,216.1577794,152.237,2.2099
1861,1689-71-0,O2C(c1ccccc1)C2c3ccccc3,Training,0,1,74,0.669572877,12.53,59.451,1.807200415,391.9105841,196.249,3.4992
1862,1689-84-5,N#Cc1cc(c(O)c(c1)Br)Br,Training,0,0,56,0.791922188,44.02,48.2218,3.348369661,306.697838,276.915,2.78888
1863,1689-89-0,N#Cc1cc(c(O)c(c1)I)[N+](=O)[O-],Training,0,1,66,0.484863034,87.16,52.1932,3.437601005,410.9340612,290.016,1.77668
1864,16974-10-0,O=C(OCCCCCCC=CCCCCCC)C,Training,0,0,106,0.277338132,26.3,77.617,3.055848781,209.1425,254.414,5.0266
1865,1698-60-8,O=C1C(=C(N)C=NN1c2ccccc2)Cl,Training,0,0,76,0.79338231,60.91,59.2564,2.660282009,536.1089189,221.647,1.4681
1866,17024-17-8,O=[N+]([O-])c2cccc1c3ccccc3(ccc12),Training,1,1,82,0.356442354,43.14,68.1084,2.524096944,734.4562653,223.231,3.9012
1867,17024-18-9,O=[N+]([O-])c3ccc2c(ccc1ccccc12)c3,Training,1,1,82,0.356442354,43.14,68.1084,2.407018933,734.4562653,223.231,3.9012
1868,17024-19-0,O=[N+]([O-])c2ccc3ccc1ccccc1c3(c2),Training,1,1,82,0.356442354,43.14,68.1084,2.460462405,734.4562653,223.231,3.9012
1869,17026-81-2,O=C(Nc1ccc(OCC)c(N)c1)C,Training,1,1,76,0.718554498,64.35,56.3271,2.827524231,336.8939251,194.234,1.6259
1870,1703-58-8,O=C(O)CC(C(=O)O)C(C(=O)O)CC(=O)O,Training,1,0,90,0.452899645,149.2,46.7572,4.933499279,288,234.16,-0.6626
1871,17057-98-6,c1ccc3c(c1)c2cccc(c2C3C)C,Training,1,1,74,0.591273939,0,64.132,2.374556958,523.3115616,194.277,4.12722
1872,1705-85-7,c1ccc3c(c1)ccc4c2ccccc2c(cc34)C,Training,1,1,90,0.359346592,0,83.697,2.337122736,916.7400111,242.321,5.45462
1873,170660-62-5,O=C1NC(=O)CC1=C(Cl)Cl,Training,1,1,54,0.440572813,46.17,36.4987,2.934667918,229.80245,179.99,0.7221
1874,170660-63-6,O=C1NC(=O)C(C1=C(Cl)Cl)Cl,Training,1,1,60,0.37051945,46.17,41.5227,3.080107374,256.4531449,214.435,0.9394
1875,17070-45-0,n2c1ccc(OC)cc1c(NCCCNCCCl)c3ccc(cc23)Cl,Training,1,1,132,0.339472842,46.18,107.5074,1.950397809,870.0319875,378.303,4.6804
1876,1707-31-9,O=CN(O)c1ccc2ccccc2(c1),Training,1,1,70,0.44447071,40.54,54.2775,2.560015406,467.5491143,187.198,2.1918
1877,17075-03-5,Nc1cc4cccc3ccc2cccc1c2c34,Training,1,1,80,0.347034174,26.02,74.5584,2.504319902,845.731672,217.271,4.1662
1878,1709-39-3,O=S(=O)(c1ccc(N)cc1)N(CC)CC,Training,0,0,84,0.789974994,63.4,60.9612,3.105617107,407.5534583,228.317,1.2993
1879,1709-52-0,O=S(=O)(NC)c1ccc(N)cc1,Training,0,0,66,0.64690084,72.19,47.0999,3.142317143,355.4976952,186.236,0.1769
1880,17096-47-8,O=[N+]([O-])OCCN([N+](=O)[O-])C,Training,1,1,64,0.394874479,98.75,32.5708,3.387645329,159.0516324,165.105,-0.6818
1881,1711-06-4,O=C(c1cccc(c1)C)Cl,Training,1,1,52,0.567990504,17.07,41.3625,3.069899266,255.1894334,154.596,2.37402
1882,17135-78-3,c1ccc2cc3cc(ccc3(cc2(c1)))Cl,Training,1,1,72,0.476239911,0,66.464,2.474936442,640.9571121,212.679,4.6464
